epoch,lr,loss,iou,val_loss,val_iou
1,0.001,0.8080087998020116,0.4885469327493368,0.9986564605983336,0.30937367036303876
2,0.001,0.5635150114991772,0.6625667952729111,1.3483212296642475,0.16681992922125968
3,0.001,0.46821074699287984,0.6505340917267993,0.7862686363618765,0.2627701604110814
4,0.001,0.37276223902382066,0.7048912456019477,0.7103466854166629,0.5726876006015966
5,0.001,0.32449097753460726,0.718264239868777,1.3319983162097078,0.20654807607231906
6,0.001,0.30655653752497775,0.7261593504496133,0.3198254820126206,0.7282514101216462
7,0.001,0.28144693463595943,0.7378473100579334,0.5722934665964611,0.6084602538447174
8,0.001,0.2732216177591637,0.7453281581572093,0.24212141624137537,0.8100331971830876
9,0.001,0.26704950408259437,0.7488810108023763,0.2252191856725892,0.817570061692929
10,0.001,0.2540706627404512,0.7732036222969518,0.22946056923759517,0.8121241687222004
